Price,Close,High,Low,Open,Volume
Ticker,XLE,XLE,XLE,XLE,XLE
Date,,,,,
1999-08-17,7.451406955718994,7.451406955718995,7.377087988431804,7.392733986286379,1101400
1999-08-18,7.396647930145264,7.455319960224027,7.388824929137683,7.392735952163384,1350800
1999-08-19,7.447495460510254,7.470964458810181,7.3614424667438545,7.3614424667438545,504800
1999-08-20,7.470961093902588,7.490519061154981,7.42011209796637,7.431846114353361,83200
1999-08-23,7.5100789070129395,7.525724904735883,7.455317914982636,7.486609910428524,196800
1999-08-24,7.463139533996582,7.463139533996582,7.404467530861271,7.443582517936725,761400
1999-08-25,7.4279351234436035,7.494430111464201,7.349705164033747,7.494430111464201,585600
1999-08-26,7.236271381378174,7.369262314873773,7.228448385290197,7.369262314873773,111200
1999-08-27,7.232363700866699,7.287124698772293,7.1893367250342965,7.259743722341487,77800
1999-08-30,7.134575366973877,7.259743355868156,7.134575366973877,7.259743355868156,207200
1999-08-31,7.232363700866699,7.287124698772293,7.150221726530301,7.1580447262311,582400
1999-09-01,7.212803363800049,7.2753873409262955,7.20889234270751,7.232361334129854,141600
1999-09-02,7.134575366973877,7.185425339940163,7.0876373711385225,7.158044364891555,99800
1999-09-03,7.2206292152404785,7.244098215940069,7.185426191669135,7.2206292152404785,30600
1999-09-07,7.353621006011963,7.361444007082188,7.204983985677678,7.204983985677678,299800
1999-09-08,7.377086639404297,7.431847621881317,7.306679661933843,7.337971651920711,97800
1999-09-09,7.541369438171387,7.58439640103301,7.443582448867984,7.443582448867984,223600
1999-09-10,7.517899990081787,7.588306961893168,7.486608002610064,7.588306961893168,134600
1999-09-13,7.400555610656738,7.447493595502341,7.380998594448943,7.447493595502341,322000
1999-09-14,7.318409442901611,7.416196364748288,7.071984719127059,7.071984719127059,452400
1999-09-15,7.212803363800049,7.30667932948942,7.197157369518486,7.2753873409262955,56400
1999-09-16,7.208889007568359,7.228446013894555,7.150216078679246,7.228446013894555,38600
